Provider,PotentialFraud,Inpatient_NumClaims,Inpatient_NumBeneficiaries,Inpatient_AvgClaimsPerBeneficiary,Inpatient_TotalReimbursed,Inpatient_AvgReimbursed,Inpatient_StdReimbursed,Inpatient_MaxReimbursed,Inpatient_MinReimbursed,Inpatient_TotalDeductible,Inpatient_AvgDeductible,Inpatient_NumUniquePhysicians,Inpatient_UniqueDiagnoses,Inpatient_UniqueProcedures,Inpatient_AvgLOS,Inpatient_TotalLOS,Inpatient_MaxLOS,Inpatient_AvgClaimDuration,Outpatient_NumClaims,Outpatient_NumBeneficiaries,Outpatient_AvgClaimsPerBeneficiary,Outpatient_TotalReimbursed,Outpatient_AvgReimbursed,Outpatient_StdReimbursed,Outpatient_MaxReimbursed,Outpatient_MinReimbursed,Outpatient_TotalDeductible,Outpatient_AvgDeductible,Outpatient_NumUniquePhysicians,Outpatient_UniqueDiagnoses,Outpatient_UniqueProcedures,Outpatient_AvgClaimDuration,Age_mean_Inp,Age_std_Inp,Age_min_Inp,Age_max_Inp,Gender_mean_Inp,ChronicConditionsCount_mean_Inp,ChronicConditionsCount_max_Inp,ChronicConditionsCount_sum_Inp,IsDeceased_sum_Inp,HasRenalDisease_sum_Inp,Age_mean_Out,Age_std_Out,Age_min_Out,Age_max_Out,Gender_mean_Out,ChronicConditionsCount_mean_Out,ChronicConditionsCount_max_Out,ChronicConditionsCount_sum_Out,IsDeceased_sum_Out,HasRenalDisease_sum_Out
PRV54868,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,91.0,1.1538461538461537,25220.0,240.1904761904762,463.4672442005869,3100.0,0.0,260.0,2.4761904761904763,3.0,211.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.94270721293309,11.904309425347622,28.914442162902123,99.9151266255989,1.6666666666666667,18.038095238095238,22.0,1894.0,0.0,15.0
PRV55344,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,1.75,8320.0,594.2857142857143,756.537805102594,2300.0,0.0,0.0,0.0,3.0,47.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94758971350348,5.311515702296377,64.33401779603011,79.16769336071184,1.6428571428571428,17.142857142857142,20.0,240.0,2.0,4.0
PRV55323,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,108.0,1.3333333333333333,36470.0,253.26388888888889,511.5297636564749,3300.0,0.0,120.0,0.8333333333333334,14.0,271.0,0.0,0.8472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.59955129667657,14.036871893980022,29.08145106091718,98.50239561943874,1.6388888888888888,17.319444444444443,22.0,2494.0,1.0,32.0
PRV52047,No,15.0,12.0,1.25,144000.0,9600.0,12199.53160693358,50000.0,0.0,16020.0,1068.0,4.0,88.0,10.0,5.466666666666667,82.0,12.0,5.466666666666667,9.0,9.0,1.0,4550.0,505.55555555555554,1026.4393687781942,3200.0,20.0,0.0,0.0,6.0,24.0,0.0,3.5555555555555554,74.06342687656857,15.732680670577718,46.75427789185489,91.75359342915812,1.6666666666666667,15.933333333333334,21.0,239.0,0.0,3.0,60.13963039014374,14.386488117019216,36.0,80.0,1.6666666666666667,16.444444444444443,21.0,148.0,0.0,2.0
PRV52152,No,47.0,45.0,1.0444444444444445,447980.0,9531.489361702128,9824.436919083875,47000.0,0.0,46992.0,1068.0,56.0,220.0,29.0,5.042553191489362,237.0,21.0,5.0212765957446805,41.0,39.0,1.0512820512820513,6380.0,155.609756097561,299.29123592654537,1700.0,0.0,60.0,1.4634146341463414,44.0,77.0,0.0,0.4878048780487805,77.35506138319717,12.52939189288653,40.75290896646133,97.33333333333333,1.6170212765957446,16.74468085106383,22.0,787.0,0.0,12.0,76.23839334902588,11.326021723267473,40.50102669404517,98.25051334702259,1.4634146341463414,16.926829268292682,22.0,694.0,0.0,4.0
PRV52673,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,52.0,1.6730769230769231,19470.0,223.79310344827587,444.85493161753607,2100.0,0.0,520.0,5.977011494252873,3.0,171.0,0.0,1.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.385824541528,9.139331094300584,50.33538672142368,95.00068446269678,1.4827586206896552,17.666666666666668,22.0,1537.0,0.0,18.0
PRV55418,No,3.0,3.0,1.0,18000.0,6000.0,2000.0,8000.0,4000.0,3204.0,1068.0,2.0,24.0,1.0,7.666666666666667,23.0,14.0,7.666666666666667,6.0,3.0,2.0,2190.0,365.0,459.3800169794067,1200.0,30.0,100.0,16.666666666666668,5.0,17.0,0.0,0.0,74.75154004106776,23.763541300486764,47.501711156741955,91.16769336071184,1.0,18.0,20.0,54.0,0.0,0.0,76.88751996349532,8.872287289755437,71.8302532511978,93.58521560574948,1.3333333333333333,16.333333333333332,18.0,98.0,0.0,0.0
PRV52392,No,5.0,4.0,1.25,50000.0,10000.0,5244.044240850758,17000.0,4000.0,5340.0,1068.0,6.0,38.0,2.0,6.6,33.0,13.0,6.6,122.0,54.0,2.259259259259259,35980.0,294.91803278688525,565.454904854664,3200.0,0.0,220.0,1.8032786885245902,29.0,241.0,0.0,1.1721311475409837,80.83340177960301,3.753271702925494,75.08281998631075,84.24914442162903,1.4,16.0,19.0,80.0,0.0,1.0,69.87821052277242,12.137283705187695,47.167693360711844,95.58658453114305,1.5737704918032787,16.868852459016395,22.0,2058.0,1.0,26.0
PRV51049,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,65.0,1.0923076923076922,21720.0,305.9154929577465,644.0465321804645,3300.0,0.0,190.0,2.676056338028169,67.0,147.0,0.0,1.7887323943661972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.148644089038,11.337032493626914,28.58590006844627,90.8309377138946,1.5211267605633803,17.338028169014084,22.0,1231.0,0.0,17.0
PRV55155,No,9.0,9.0,1.0,68000.0,7555.555555555556,4447.221354708779,18000.0,3000.0,9612.0,1068.0,5.0,57.0,4.0,6.444444444444445,58.0,16.0,6.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.64027682713514,17.452540516144047,36.91444216290212,89.16632443531827,1.5555555555555556,17.444444444444443,21.0,157.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
